Size	Entropy	Chi^2	Pi Error	Termination	Command
176922	7.99867	327.146/384	0.151368	aar	Zip archive data, at least v2.0 to extract
199090	7.99867	370.628/385	0.144702	aar	Zip archive data, at least v1.0 to extract
203096	7.99867	373.629/385	0.152465	aar	Zip archive data, at least v2.0 to extract
176922	7.99866	330.437/384	0.15167	aar	Zip archive data, at least v2.0 to extract
183119	7.99866	339.892/384	0.149282	aar	Zip archive data, at least v1.0 to extract
184633	7.99866	343.935/384	0.149622	aar	Zip archive data, at least v2.0 to extract
203299	7.99865	378.457/385	0.152733	aar	Zip archive data, at least v2.0 to extract
168640	7.99864	318.216/384	0.145964	aar	Zip archive data, at least v2.0 to extract
203095	7.99864	381.605/385	0.150434	aar	Zip archive data, at least v2.0 to extract
193098	7.99863	365.756/385	0.147151	aar	Zip archive data, at least v2.0 to extract
193098	7.99863	366.26/385	0.147191	aar	Zip archive data, at least v2.0 to extract
184207	7.99862	353.348/384	0.149148	aar	Zip archive data, at least v1.0 to extract
181059	7.99861	347.611/384	0.148501	aar	Zip archive data, at least v2.0 to extract
177010	7.99859	345.126/384	0.146599	aar	Zip archive data, at least v2.0 to extract
193099	7.99859	374.667/385	0.148094	aar	Zip archive data, at least v2.0 to extract
162834	7.99858	318.239/383	0.144426	aar	Zip archive data, at least v2.0 to extract
181054	7.99858	356.523/384	0.14777	aar	Zip archive data, at least v2.0 to extract
158063	7.99857	312.955/383	0.152632	aar	Zip archive data, at least v2.0 to extract
184499	7.99856	366.438/384	0.149911	aar	Zip archive data, at least v2.0 to extract
170754	7.99855	341.859/384	0.151517	aar	Zip archive data, at least v2.0 to extract
177065	7.99855	354.581/384	0.147312	aar	Zip archive data, at least v2.0 to extract
156695	7.99853	318.459/383	0.145283	aar	Zip archive data, at least v2.0 to extract
170739	7.99853	346.653/384	0.15086	aar	Zip archive data, at least v2.0 to extract
187144	7.99853	383.363/384	0.15101	aar	Zip archive data, at least v2.0 to extract
149250	7.99852	305.16/383	0.147505	aar	Zip archive data, at least v2.0 to extract
149250	7.99852	305.605/383	0.147608	aar	Zip archive data, at least v2.0 to extract
184155	7.99852	378.349/384	0.14361	aar	Zip archive data, at least v2.0 to extract
167834	7.9985	347.346/384	0.148936	aar	Zip archive data, at least v1.0 to extract
173972	7.9985	360.563/384	0.143811	aar	Zip archive data, at least v2.0 to extract
158025	7.99849	329.363/383	0.143213	aar	Zip archive data, at least v2.0 to extract
158035	7.99849	331.888/383	0.148354	aar	Zip archive data, at least v2.0 to extract
156680	7.99848	330.984/383	0.147054	aar	Zip archive data, at least v2.0 to extract
149418	7.99846	317.513/383	0.146598	aar	Zip archive data, at least v2.0 to extract
169134	7.99845	364.867/384	0.150346	aar	Zip archive data, at least v1.0 to extract
